Detector,Descriptor,ImgNumber,TTC_Lidar,TTC_Camera
HARRIS,BRIEF,0001,12.2891,nan
HARRIS,BRIEF,0002,13.3547,80.7525
HARRIS,BRIEF,0003,16.3845,-18.2644
HARRIS,BRIEF,0004,14.0764,11.36
HARRIS,BRIEF,0005,12.7299,9.58956
HARRIS,BRIEF,0006,13.7511,-inf
HARRIS,BRIEF,0007,13.7314,13.8748
HARRIS,BRIEF,0008,13.7901,12.9162
HARRIS,BRIEF,0009,12.059,3.90277
HARRIS,BRIEF,0010,11.8642,-38.7212
HARRIS,BRIEF,0011,11.9682,23.3405
HARRIS,BRIEF,0012,9.88711,7.20938
HARRIS,BRIEF,0013,9.42504,-inf
HARRIS,BRIEF,0014,9.30215,5.55228
HARRIS,BRIEF,0015,8.3212,-14.7808
HARRIS,BRIEF,0016,8.89867,7.29175
HARRIS,BRIEF,0017,11.0301,nan
HARRIS,BRIEF,0018,8.53557,nan
HARRIS,ORB,0001,12.2891,nan
HARRIS,ORB,0002,13.3547,80.7525
HARRIS,ORB,0003,16.3845,-18.2644
HARRIS,ORB,0004,14.0764,11.36
HARRIS,ORB,0005,12.7299,9.58956
HARRIS,ORB,0006,13.7511,27.8744
HARRIS,ORB,0007,13.7314,13.342
HARRIS,ORB,0008,13.7901,12.9162
HARRIS,ORB,0009,12.059,nan
HARRIS,ORB,0010,11.8642,nan
HARRIS,ORB,0011,11.9682,23.3405
HARRIS,ORB,0012,9.88711,7.20938
HARRIS,ORB,0013,9.42504,13.4095
HARRIS,ORB,0014,9.30215,5.79954
HARRIS,ORB,0015,8.3212,-14.7808
HARRIS,ORB,0016,8.89867,6.60338
HARRIS,ORB,0017,11.0301,nan
HARRIS,ORB,0018,8.53557,nan
HARRIS,FREAK,0001,12.2891,nan
HARRIS,FREAK,0002,13.3547,nan
HARRIS,FREAK,0003,16.3845,-18.2644
HARRIS,FREAK,0004,14.0764,11.7693
HARRIS,FREAK,0005,12.7299,-inf
HARRIS,FREAK,0006,13.7511,12.9945
HARRIS,FREAK,0007,13.7314,12.9162
HARRIS,FREAK,0008,13.7901,12.6385
HARRIS,FREAK,0009,12.059,nan
HARRIS,FREAK,0010,11.8642,10.2931
HARRIS,FREAK,0011,11.9682,23.3405
HARRIS,FREAK,0012,9.88711,7.20938
HARRIS,FREAK,0013,9.42504,26.819
HARRIS,FREAK,0014,9.30215,12.1403
HARRIS,FREAK,0015,8.3212,-12.3391
HARRIS,FREAK,0016,8.89867,6.45749
HARRIS,FREAK,0017,11.0301,nan
HARRIS,FREAK,0018,8.53557,nan
HARRIS,SIFT,0001,12.2891,nan
HARRIS,SIFT,0002,13.3547,-48.5695
HARRIS,SIFT,0003,16.3845,48.2139
HARRIS,SIFT,0004,14.0764,11.36
HARRIS,SIFT,0005,12.7299,9.58956
HARRIS,SIFT,0006,13.7511,35.1868
HARRIS,SIFT,0007,13.7314,13.342
HARRIS,SIFT,0008,13.7901,12.9162
HARRIS,SIFT,0009,12.059,-16.1946
HARRIS,SIFT,0010,11.8642,-6.72026
HARRIS,SIFT,0011,11.9682,11.6702
HARRIS,SIFT,0012,9.88711,7.20938
HARRIS,SIFT,0013,9.42504,13.4095
HARRIS,SIFT,0014,9.30215,12.9547
HARRIS,SIFT,0015,8.3212,75.249
HARRIS,SIFT,0016,8.89867,7.29175
HARRIS,SIFT,0017,11.0301,nan
HARRIS,SIFT,0018,8.53557,nan
FAST,BRISK,0001,12.2891,12.1074
FAST,BRISK,0002,13.3547,10.7587
FAST,BRISK,0003,16.3845,13.0288
FAST,BRISK,0004,14.0764,12.8651
FAST,BRISK,0005,12.7299,-inf
FAST,BRISK,0006,13.7511,13.0733
FAST,BRISK,0007,13.7314,12.9348
FAST,BRISK,0008,13.7901,10.5933
FAST,BRISK,0009,12.059,11.7236
FAST,BRISK,0010,11.8642,11.8887
FAST,BRISK,0011,11.9682,12.5157
FAST,BRISK,0012,9.88711,11.9497
FAST,BRISK,0013,9.42504,11.8227
FAST,BRISK,0014,9.30215,11.0226
FAST,BRISK,0015,8.3212,11.4456
FAST,BRISK,0016,8.89867,11.4873
FAST,BRISK,0017,11.0301,9.31709
FAST,BRISK,0018,8.53557,12.8129
FAST,BRIEF,0001,12.2891,11.9568
FAST,BRIEF,0002,13.3547,10.5286
FAST,BRIEF,0003,16.3845,11.7525
FAST,BRIEF,0004,14.0764,12.9031
FAST,BRIEF,0005,12.7299,-inf
FAST,BRIEF,0006,13.7511,13.9137
FAST,BRIEF,0007,13.7314,14.1811
FAST,BRIEF,0008,13.7901,11.7153
FAST,BRIEF,0009,12.059,12.4182
FAST,BRIEF,0010,11.8642,11.8818
FAST,BRIEF,0011,11.9682,13.0172
FAST,BRIEF,0012,9.88711,11.342
FAST,BRIEF,0013,9.42504,12.0216
FAST,BRIEF,0014,9.30215,11.7034
FAST,BRIEF,0015,8.3212,11.5139
FAST,BRIEF,0016,8.89867,11.218
FAST,BRIEF,0017,11.0301,6.71832
FAST,BRIEF,0018,8.53557,11.9072
FAST,ORB,0001,12.2891,12.1008
FAST,ORB,0002,13.3547,10.1039
FAST,ORB,0003,16.3845,11.3145
FAST,ORB,0004,14.0764,13.33
FAST,ORB,0005,12.7299,136.717
FAST,ORB,0006,13.7511,13.2534
FAST,ORB,0007,13.7314,13.5893
FAST,ORB,0008,13.7901,11.4293
FAST,ORB,0009,12.059,11.8126
FAST,ORB,0010,11.8642,12.0364
FAST,ORB,0011,11.9682,13.2402
FAST,ORB,0012,9.88711,11.6605
FAST,ORB,0013,9.42504,12.501
FAST,ORB,0014,9.30215,10.8823
FAST,ORB,0015,8.3212,10.6212
FAST,ORB,0016,8.89867,11.2206
FAST,ORB,0017,11.0301,10.4391
FAST,ORB,0018,8.53557,12.6206
FAST,FREAK,0001,12.2891,11.9301
FAST,FREAK,0002,13.3547,18.5115
FAST,FREAK,0003,16.3845,14.1981
FAST,FREAK,0004,14.0764,13.0123
FAST,FREAK,0005,12.7299,83.8822
FAST,FREAK,0006,13.7511,12.0404
FAST,FREAK,0007,13.7314,13.1068
FAST,FREAK,0008,13.7901,10.7352
FAST,FREAK,0009,12.059,11.7977
FAST,FREAK,0010,11.8642,11.3171
FAST,FREAK,0011,11.9682,12.664
FAST,FREAK,0012,9.88711,11.935
FAST,FREAK,0013,9.42504,11.6111
FAST,FREAK,0014,9.30215,11.6009
FAST,FREAK,0015,8.3212,11.7903
FAST,FREAK,0016,8.89867,12.2613
FAST,FREAK,0017,11.0301,10.1
FAST,FREAK,0018,8.53557,13.7843
FAST,SIFT,0001,12.2891,11.9
FAST,SIFT,0002,13.3547,10.8083
FAST,SIFT,0003,16.3845,13.1763
FAST,SIFT,0004,14.0764,15.2232
FAST,SIFT,0005,12.7299,-inf
FAST,SIFT,0006,13.7511,13.5377
FAST,SIFT,0007,13.7314,13.3607
FAST,SIFT,0008,13.7901,12.6147
FAST,SIFT,0009,12.059,12.3176
FAST,SIFT,0010,11.8642,12.0462
FAST,SIFT,0011,11.9682,13.5004
FAST,SIFT,0012,9.88711,11.4828
FAST,SIFT,0013,9.42504,12.0853
FAST,SIFT,0014,9.30215,11.6034
FAST,SIFT,0015,8.3212,11.1449
FAST,SIFT,0016,8.89867,11.2142
FAST,SIFT,0017,11.0301,7.06951
FAST,SIFT,0018,8.53557,11.1303
BRISK,BRISK,0001,12.2891,15.0293
BRISK,BRISK,0002,13.3547,31.3428
BRISK,BRISK,0003,16.3845,14.0501
BRISK,BRISK,0004,14.0764,14.4047
BRISK,BRISK,0005,12.7299,30.4282
BRISK,BRISK,0006,13.7511,21.7313
BRISK,BRISK,0007,13.7314,17.9038
BRISK,BRISK,0008,13.7901,16.0126
BRISK,BRISK,0009,12.059,11.22
BRISK,BRISK,0010,11.8642,15.2295
BRISK,BRISK,0011,11.9682,13.4743
BRISK,BRISK,0012,9.88711,12.1211
BRISK,BRISK,0013,9.42504,12.1305
BRISK,BRISK,0014,9.30215,14.2327
BRISK,BRISK,0015,8.3212,12.0266
BRISK,BRISK,0016,8.89867,10.8041
BRISK,BRISK,0017,11.0301,9.32622
BRISK,BRISK,0018,8.53557,10.6898
BRISK,BRIEF,0001,12.2891,11.2929
BRISK,BRIEF,0002,13.3547,17.1695
BRISK,BRIEF,0003,16.3845,10.4886
BRISK,BRIEF,0004,14.0764,17.9507
BRISK,BRIEF,0005,12.7299,24.8745
BRISK,BRIEF,0006,13.7511,14.5693
BRISK,BRIEF,0007,13.7314,17.7652
BRISK,BRIEF,0008,13.7901,18.7565
BRISK,BRIEF,0009,12.059,15.3111
BRISK,BRIEF,0010,11.8642,12.647
BRISK,BRIEF,0011,11.9682,11.7964
BRISK,BRIEF,0012,9.88711,14.0274
BRISK,BRIEF,0013,9.42504,12.1078
BRISK,BRIEF,0014,9.30215,11.6104
BRISK,BRIEF,0015,8.3212,13.512
BRISK,BRIEF,0016,8.89867,9.46861
BRISK,BRIEF,0017,11.0301,10.6982
BRISK,BRIEF,0018,8.53557,11.5016
BRISK,ORB,0001,12.2891,19.2757
BRISK,ORB,0002,13.3547,16.5886
BRISK,ORB,0003,16.3845,13.3082
BRISK,ORB,0004,14.0764,17.1329
BRISK,ORB,0005,12.7299,17.2983
BRISK,ORB,0006,13.7511,18.3427
BRISK,ORB,0007,13.7314,17.6016
BRISK,ORB,0008,13.7901,18.4557
BRISK,ORB,0009,12.059,12.8583
BRISK,ORB,0010,11.8642,11.3596
BRISK,ORB,0011,11.9682,13.0423
BRISK,ORB,0012,9.88711,12.285
BRISK,ORB,0013,9.42504,11.4845
BRISK,ORB,0014,9.30215,16.1934
BRISK,ORB,0015,8.3212,15.0331
BRISK,ORB,0016,8.89867,10.4584
BRISK,ORB,0017,11.0301,10.5958
BRISK,ORB,0018,8.53557,11.3873
BRISK,FREAK,0001,12.2891,10.8289
BRISK,FREAK,0002,13.3547,32.3394
BRISK,FREAK,0003,16.3845,14.311
BRISK,FREAK,0004,14.0764,14.3906
BRISK,FREAK,0005,12.7299,29.5882
BRISK,FREAK,0006,13.7511,26.0725
BRISK,FREAK,0007,13.7314,17.6016
BRISK,FREAK,0008,13.7901,20.0724
BRISK,FREAK,0009,12.059,12.5948
BRISK,FREAK,0010,11.8642,12.5124
BRISK,FREAK,0011,11.9682,13.5752
BRISK,FREAK,0012,9.88711,12.1442
BRISK,FREAK,0013,9.42504,12.0773
BRISK,FREAK,0014,9.30215,13.6072
BRISK,FREAK,0015,8.3212,12.4213
BRISK,FREAK,0016,8.89867,9.85123
BRISK,FREAK,0017,11.0301,9.60305
BRISK,FREAK,0018,8.53557,10.2601
BRISK,SIFT,0001,12.2891,11.9844
BRISK,SIFT,0002,13.3547,17.6931
BRISK,SIFT,0003,16.3845,15.4132
BRISK,SIFT,0004,14.0764,14.8251
BRISK,SIFT,0005,12.7299,23.0805
BRISK,SIFT,0006,13.7511,11.7144
BRISK,SIFT,0007,13.7314,13.1791
BRISK,SIFT,0008,13.7901,20.1342
BRISK,SIFT,0009,12.059,13.6816
BRISK,SIFT,0010,11.8642,13.4968
BRISK,SIFT,0011,11.9682,15.7551
BRISK,SIFT,0012,9.88711,11.6984
BRISK,SIFT,0013,9.42504,12.3623
BRISK,SIFT,0014,9.30215,11.5395
BRISK,SIFT,0015,8.3212,14.408
BRISK,SIFT,0016,8.89867,10.9565
BRISK,SIFT,0017,11.0301,9.95786
